"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2022","0.1405","0.1405","0.1405","0.1405","","0.00%"
"09/01/2022","0.1405","0.1448","0.1451","0.1379","","-3.18%"
"08/01/2022","0.1451","0.1482","0.1487","0.1445","","-2.13%"
"07/01/2022","0.1483","0.1494","0.1496","0.1477","","-0.66%"
"06/01/2022","0.1492","0.1500","0.1507","0.1479","","-0.42%"
"05/01/2022","0.1499","0.1517","0.1517","0.1468","","-0.95%"
"04/01/2022","0.1513","0.1577","0.1577","0.1503","","-4.06%"
"03/01/2022","0.1577","0.1586","0.1586","0.1566","","-0.48%"
"02/01/2022","0.1585","0.1573","0.1586","0.1569","","0.81%"
"01/01/2022","0.1572","0.1569","0.1583","0.1566","","0.00%"
"12/01/2021","0.1572","0.1570","0.1578","0.1566","","0.07%"
"11/01/2021","0.1571","0.1561","0.1572","0.1560","","0.66%"
"10/01/2021","0.1561","0.1551","0.1568","0.1548","","0.65%"
"09/01/2021","0.1551","0.1548","0.1555","0.1544","","0.20%"
"08/01/2021","0.1548","0.1548","0.1549","0.1537","","0.00%"
"07/01/2021","0.1548","0.1547","0.1550","0.1535","","-0.06%"
"06/01/2021","0.1549","0.1570","0.1572","0.1541","","-1.34%"
"05/01/2021","0.1570","0.1543","0.1573","0.1542","","1.62%"
"04/01/2021","0.1545","0.1525","0.1547","0.1520","","1.23%"
"03/01/2021","0.1526","0.1546","0.1549","0.1520","","-1.16%"
"02/01/2021","0.1544","0.1555","0.1555","0.1541","","-0.72%"
"01/01/2021","0.1555","0.1535","0.1557","0.1534","","1.52%"
"12/01/2020","0.1532","0.1520","0.1535","0.1518","","0.82%"
"11/01/2020","0.1519","0.1494","0.1529","0.1481","","1.70%"
