"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2022","1.1098","1.1161","1.1495","1.1085","","-0.56%"
"09/01/2022","1.1160","1.1623","1.1740","1.0384","","-3.98%"
"08/01/2022","1.1622","1.2165","1.2294","1.1598","","-4.47%"
"07/01/2022","1.2166","1.2177","1.2247","1.1759","","-0.07%"
"06/01/2022","1.2175","1.2604","1.2618","1.1933","","-3.37%"
"05/01/2022","1.2600","1.2587","1.2667","1.2155","","0.23%"
"04/01/2022","1.2571","1.3136","1.3168","1.2410","","-4.28%"
"03/01/2022","1.3133","1.3421","1.3439","1.2999","","-2.13%"
"02/01/2022","1.3419","1.3447","1.3645","1.3271","","-0.19%"
"01/01/2022","1.3445","1.3531","1.3750","1.3357","","-0.62%"
"12/01/2021","1.3529","1.3299","1.3551","1.3167","","1.76%"
"11/01/2021","1.3295","1.3683","1.3699","1.3195","","-2.89%"
"10/01/2021","1.3691","1.3472","1.3836","1.3434","","1.63%"
"09/01/2021","1.3472","1.3753","1.3914","1.3412","","-2.05%"
"08/01/2021","1.3754","1.3901","1.3958","1.3601","","-1.06%"
"07/01/2021","1.3901","1.3829","1.3985","1.3571","","0.54%"
"06/01/2021","1.3827","1.4213","1.4250","1.3786","","-2.69%"
"05/01/2021","1.4209","1.3827","1.4234","1.3800","","2.86%"
"04/01/2021","1.3814","1.3781","1.4010","1.3669","","0.25%"
"03/01/2021","1.3779","1.3939","1.4017","1.3670","","-1.10%"
"02/01/2021","1.3932","1.3713","1.4237","1.3566","","1.68%"
"01/01/2021","1.3702","1.3672","1.3761","1.3451","","0.21%"
"12/01/2020","1.3673","1.3325","1.3687","1.3134","","2.64%"
"11/01/2020","1.3321","1.2946","1.3399","1.2853","","2.94%"
