"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2022","0.01210","0.01227","0.01230","0.01210","","-1.37%"
"09/01/2022","0.01227","0.01257","0.01265","0.01217","","-2.39%"
"08/01/2022","0.01257","0.01263","0.01276","0.01245","","-0.41%"
"07/01/2022","0.01263","0.01266","0.01271","0.01245","","-0.30%"
"06/01/2022","0.01266","0.01289","0.01292","0.01264","","-1.73%"
"05/01/2022","0.01289","0.01307","0.01316","0.01280","","-1.39%"
"04/01/2022","0.01307","0.01317","0.01329","0.01297","","-0.74%"
"03/01/2022","0.01317","0.01328","0.01329","0.01291","","-0.88%"
"02/01/2022","0.01328","0.01341","0.01345","0.01317","","-0.98%"
"01/01/2022","0.01341","0.01343","0.01356","0.01325","","-0.10%"
"12/01/2021","0.01343","0.01332","0.01349","0.01309","","0.83%"
"11/01/2021","0.01332","0.01334","0.01354","0.01330","","-0.21%"
"10/01/2021","0.01334","0.01348","0.01350","0.01322","","-1.05%"
"09/01/2021","0.01348","0.01370","0.01371","0.01345","","-1.58%"
"08/01/2021","0.01370","0.01345","0.01372","0.01342","","1.86%"
"07/01/2021","0.01345","0.01345","0.01347","0.01333","","-0.04%"
"06/01/2021","0.01345","0.01379","0.01379","0.01343","","-2.40%"
"05/01/2021","0.01379","0.01350","0.01383","0.01346","","2.08%"
"04/01/2021","0.01350","0.01367","0.01367","0.01323","","-1.24%"
"03/01/2021","0.01367","0.01353","0.01384","0.01353","","1.10%"
"02/01/2021","0.01353","0.01372","0.01384","0.01350","","-1.39%"
"01/01/2021","0.01372","0.01369","0.01374","0.01359","","0.16%"
"12/01/2020","0.01369","0.01351","0.01370","0.01349","","1.35%"
"11/01/2020","0.01351","0.01341","0.01358","0.01334","","0.74%"
