"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2022","0.688300","0.691850","0.696700","0.688000","","-0.35%"
"09/01/2022","0.690700","0.719550","0.719800","0.685350","","-4.02%"
"08/01/2022","0.719600","0.750650","0.766850","0.719000","","-4.13%"
"07/01/2022","0.750600","0.736800","0.754700","0.717350","","1.90%"
"06/01/2022","0.736600","0.777300","0.777400","0.729850","","-5.19%"
"05/01/2022","0.776900","0.770550","0.791400","0.761300","","0.88%"
"04/01/2022","0.770100","0.821900","0.821900","0.761850","","-6.27%"
"03/01/2022","0.821600","0.869500","0.872250","0.799300","","-5.50%"
"02/01/2022","0.869400","0.868600","0.876000","0.859450","","0.09%"
"01/01/2022","0.868600","0.868850","0.881300","0.859400","","-0.01%"
"12/01/2021","0.868700","0.883600","0.888450","0.868000","","-1.68%"
"11/01/2021","0.883500","0.877350","0.888650","0.865550","","0.74%"
"10/01/2021","0.877000","0.898650","0.902300","0.871800","","-2.39%"
"09/01/2021","0.898500","0.908900","0.916550","0.892200","","-1.12%"
"08/01/2021","0.908700","0.911600","0.919800","0.902500","","-0.29%"
"07/01/2021","0.911300","0.900050","0.916900","0.895550","","1.27%"
"06/01/2021","0.899900","0.912650","0.915900","0.899900","","-1.40%"
"05/01/2021","0.912700","0.915200","0.923050","0.907350","","-0.24%"
"04/01/2021","0.914900","0.903000","0.930450","0.902100","","1.31%"
"03/01/2021","0.903100","0.938400","0.940200","0.901150","","-3.72%"
"02/01/2021","0.938000","0.955350","0.957800","0.937200","","-1.78%"
"01/01/2021","0.955000","0.968450","0.974800","0.952800","","-1.37%"
"12/01/2020","0.968300","0.958650","0.972050","0.954550","","0.99%"
"11/01/2020","0.958800","0.956250","0.969300","0.946150","","0.36%"
