"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2022","0.0538","0.0541","0.0541","0.0536","","-0.33%"
"09/01/2022","0.0540","0.0549","0.0556","0.0537","","-1.64%"
"08/01/2022","0.0549","0.0558","0.0567","0.0545","","-1.61%"
"07/01/2022","0.0558","0.0599","0.0603","0.0554","","-6.84%"
"06/01/2022","0.0599","0.0609","0.0625","0.0573","","-1.64%"
"05/01/2022","0.0609","0.0674","0.0681","0.0605","","-9.51%"
"04/01/2022","0.0673","0.0681","0.0691","0.0671","","-1.17%"
"03/01/2022","0.0681","0.0723","0.0729","0.0665","","-5.68%"
"02/01/2022","0.0722","0.0751","0.0758","0.0679","","-3.73%"
"01/01/2022","0.0750","0.0743","0.0790","0.0711","","0.00%"
"12/01/2021","0.0750","0.0742","0.0984","0.0545","","1.08%"
"11/01/2021","0.0742","0.1041","0.1058","0.0728","","-28.65%"
"10/01/2021","0.1040","0.1125","0.1134","0.1015","","-7.47%"
"09/01/2021","0.1124","0.1203","0.1212","0.1116","","-6.41%"
"08/01/2021","0.1201","0.1183","0.1209","0.1151","","1.78%"
"07/01/2021","0.1180","0.1148","0.1192","0.1145","","2.79%"
"06/01/2021","0.1148","0.1178","0.1210","0.1135","","-2.46%"
"05/01/2021","0.1177","0.1206","0.1218","0.1160","","-2.24%"
"04/01/2021","0.1204","0.1212","0.1254","0.1177","","-0.66%"
"03/01/2021","0.1212","0.1347","0.1391","0.1181","","-9.96%"
"02/01/2021","0.1346","0.1367","0.1452","0.1335","","-1.46%"
"01/01/2021","0.1366","0.1344","0.1382","0.1325","","1.64%"
"12/01/2020","0.1344","0.1276","0.1370","0.1244","","5.33%"
"11/01/2020","0.1276","0.1198","0.1332","0.1164","","6.51%"
